title,price,rating,reviews,availability
"Playstation SONY 4, 500GB Slim System [CUH-2215AB01], Black, 3003347 (Renewed)",,4.7 out of 5 stars,327 ratings,Currently unavailable.
Sony Playstation PS4 1TB Black Console,$449.89,4.7 out of 5 stars,935 ratings,Not Available
PlayStation 4 500GB Console (Renewed),$272.99,4.0 out of 5 stars,353 ratings,Not Available
PlayStation 4 Slim 1TB Console (Renewed),$309.95,4.3 out of 5 stars,"1,004 ratings",Not Available
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),$281.99,4.5 out of 5 stars,"1,238 ratings",Not Available
PlayStation 4 Slim 1TB Console - Black (Renewed),$478.00,4.5 out of 5 stars,"1,203 ratings",Not Available
Sony PlayStation 2 Console - Black (Renewed),$198.99,4.3 out of 5 stars,"1,087 ratings",Not Available
"Playstation SONY 4, 500GB Slim System [CUH-2215AB01], Black, 3003347 (Renewed)",,4.7 out of 5 stars,327 ratings,Currently unavailable.
PlayStation 4 Slim 1TB Console (Renewed),$309.95,4.3 out of 5 stars,"1,004 ratings",Not Available
PlayStation 2 Slim Console PS2 (Renewed),$193.53,4.2 out of 5 stars,921 ratings,Not Available
Playstation 2 Console - Black (Renewed),$219.00,4.2 out of 5 stars,310 ratings,Not Available
PlayStation 4 Slim 1TB Console - Marvels Spider-Man Bundle (Renewed),$399.99,4.4 out of 5 stars,307 ratings,Not Available
"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",$353.33,4.0 out of 5 stars,431 ratings,Not Available
"Replacement for PS4 Controller, Wireless Playstation 4 Controller Game Remote Compatible with PS4/Slim/Pro/PC Dualshock 4 PS4 Controller with Bluetooth Enhanced Dual Vibration Six-axis Sensitive Joystick (Black)",,3.6 out of 5 stars,16 ratings,Not Available
"BlueFire Professional 3.5mm PS4 Gaming Headset Headphone with Mic and LED Lights for Playstation 4, PS5, Xbox one,Laptop, Computer (Blue)",,4.4 out of 5 stars,"8,349 ratings",Not Available
PlayStation 4 Slim 1TB Console - Black (Renewed),$478.00,4.5 out of 5 stars,"1,203 ratings",Not Available
"Wiv77 2 Pack Ps4 Controller Blue and White, Control Pa4 Remote Wireless Compatible with Playstation 4 Controller with Headphone Jack/Long Battery Life, Pa4 Controller for Kids/Men/Women",,5.0 out of 5 stars,6 ratings,Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,314 ratings",Only 1 left in stock - order soon.
PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],,4.7 out of 5 stars,"2,798 ratings",
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.50,4.7 out of 5 stars,"143,697 ratings",Not Available
Newest Sony Playstation 4 Slim 1TB SSD Console - Marvel's Spider-Man PS4 Bundle with DualShock-4 Wireless Controller,$478.00,4.5 out of 5 stars,264 ratings,Not Available
PAC-MAN World Re-PAC - PlayStation 4,$18.99,4.7 out of 5 stars,119 ratings,In Stock.
"Funcilit Wireless Controller for PS3, Controller for Playstation 3, Wireless Bluetooth Gamepad with USB Charger Cable for PS3 Console, 2 Pack(Black)",,4.4 out of 5 stars,"1,122 ratings",Not Available
"Powerextra Wireless Controller Compatible with PS-3, 2 Pack High Performance Gaming Controller with Upgraded Joystick for Play-Station 3 (Black)",$20.99,4.4 out of 5 stars,"1,166 ratings",Not Available
Marvel's Spider-Man: Miles Morales - PlayStation 4,$39.93,4.8 out of 5 stars,"3,768 ratings",Not Available
"Heiko Wireless Controller Compatible with PS4 / PS4 Slim / PS4 Pro & PC, Enhanced Dualshock PS4 Controller with 1200mAH Battery, 6-Axis Gyro Sensor, Game Controller (Blue Cloud)",$28.99,4.0 out of 5 stars,29 ratings,Not Available
Guitar Hero Live - PlayStation 4,,4.2 out of 5 stars,635 ratings,Only 1 left in stock - order soon.
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,622 ratings",Only 10 left in stock - order soon.
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.50,4.7 out of 5 stars,"143,697 ratings",Not Available
PlayStation PS5 Console – God of War Ragnarök Bundle,$559.00,4.8 out of 5 stars,"3,657 ratings",In Stock.
Internal Cooling Fan for SONY PS4 CUH-12XX CUH-1200 CUH-1200AB01 CUH-1200AB02 1215A 1215B Replacement Part KSB0912HE,$18.88,4.2 out of 5 stars,51 ratings,Not Available
Sony Playstation 4 Dual Shock 4 Controller,,4.6 out of 5 stars,"1,949 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,$63.00,4.7 out of 5 stars,"143,697 ratings",Not Available
"TEDBOX Wireless Controller for PS4, Wireless Remote Gamepad with Unique Cracked Design/8 Adjustable LED Colors/Programmable Back Buttons/Super Turbo/Dual Vibration, Widely Compatible with PS4/PC/iOS",,4.2 out of 5 stars,4 ratings,Not Available
"PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro, PS4 Vertical Stand with Dual Controller Port Charger Dock Station, 12 Game Slots, USB Fast Charging Station with LED Indicator",$24.99,3.6 out of 5 stars,22 ratings,Not Available
"DOYO 1080° Gaming Racing Wheel with Pedals and Shifter, Steering Wheel for PC, Xbox One, Xbox Series 360, PS4, PS3 and Nintendo Switch",,3.8 out of 5 stars,28 ratings,Not Available
PlayStation 4 500GB Console (Renewed),$272.99,4.0 out of 5 stars,353 ratings,Not Available
"BlueFire Professional 3.5mm PS4 Gaming Headset Headphone with Mic and LED Lights for Playstation 4, PS5, Xbox one,Laptop, Computer (Blue)",,4.4 out of 5 stars,"8,349 ratings",Not Available
"Wiv77 2 Pack Ps4 Controller Blue and White, Control Pa4 Remote Wireless Compatible with Playstation 4 Controller with Headphone Jack/Long Battery Life, Pa4 Controller for Kids/Men/Women",,5.0 out of 5 stars,6 ratings,Not Available
Sony Playstation PS4 1TB Black Console,$449.89,4.7 out of 5 stars,935 ratings,Not Available
"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",$353.33,4.0 out of 5 stars,431 ratings,Not Available
PlayStation 4 Pro 1TB Console,,4.7 out of 5 stars,"12,498 ratings",Only 1 left in stock - order soon.
Sony PlayStation 4 Pro 1TB White (PS4),,4.5 out of 5 stars,933 ratings,Only 1 left in stock - order soon.
PlayStation 4 Pro 1TB Limited Edition Console - Star Wars Battlefront II Bundle [Discontinued],,4.5 out of 5 stars,658 ratings,Only 1 left in stock - order soon.
